source,target
I wonder why the chicken loves to swordfight the dog,dog the swordfight to loves chicken the why wonder I
The chicken questions the dog,dog the questions chicken The
Please tell the chicken and the dog to question me,me question to dog the and chicken the tell Please
Do not question the chicken or the dog,dog the or chicken the question not Do
I wanted to question the chicken but a dog stopped me,me stopped dog a but chicken the question to wanted I
I wonder why the chicken loves to question the dog,dog the question to loves chicken the why wonder I
The chicken serenades the dog,dog the serenades chicken The
Please tell the chicken and the dog to serenade me,me serenade to dog the and chicken the tell Please
Do not serenade the chicken or the dog,dog the or chicken the serenade not Do
I wanted to serenade the chicken but a dog stopped me,me stopped dog a but chicken the serenade to wanted I
I wonder why the chicken loves to serenade the dog,dog the serenade to loves chicken the why wonder I
The chicken bites the dog,dog the bites chicken The
Please tell the chicken and the dog to bite me,me bite to dog the and chicken the tell Please
Do not bite the chicken or the dog,dog the or chicken the bite not Do
I wanted to bite the chicken but a dog stopped me,me stopped dog a but chicken the bite to wanted I
I wonder why the chicken loves to bite the dog,dog the bite to loves chicken the why wonder I
The chicken hugs the dog,dog the hugs chicken The
Please tell the chicken and the dog to hug me,me hug to dog the and chicken the tell Please
Do not hug the chicken or the dog,dog the or chicken the hug not Do
I wanted to hug the chicken but a dog stopped me,me stopped dog a but chicken the hug to wanted I
I wonder why the chicken loves to hug the dog,dog the hug to loves chicken the why wonder I
The chicken defends the dog,dog the defends chicken The
Please tell the chicken and the dog to defend me,me defend to dog the and chicken the tell Please
Do not defend the chicken or the dog,dog the or chicken the defend not Do
I wanted to defend the chicken but a dog stopped me,me stopped dog a but chicken the defend to wanted I
I wonder why the chicken loves to defend the dog,dog the defend to loves chicken the why wonder I
The chicken saves the dog,dog the saves chicken The
Please tell the chicken and the dog to save me,me save to dog the and chicken the tell Please
Do not save the chicken or the dog,dog the or chicken the save not Do
I wanted to save the chicken but a dog stopped me,me stopped dog a but chicken the save to wanted I
I wonder why the chicken loves to save the dog,dog the save to loves chicken the why wonder I
The chicken paints the dog,dog the paints chicken The
Please tell the chicken and the dog to paint me,me paint to dog the and chicken the tell Please
Do not paint the chicken or the dog,dog the or chicken the paint not Do
I wanted to paint the chicken but a dog stopped me,me stopped dog a but chicken the paint to wanted I
I wonder why the chicken loves to paint the dog,dog the paint to loves chicken the why wonder I
The chicken illustrates the dog,dog the illustrates chicken The
Please tell the chicken and the dog to illustrate me,me illustrate to dog the and chicken the tell Please
Do not illustrate the chicken or the dog,dog the or chicken the illustrate not Do
I wanted to illustrate the chicken but a dog stopped me,me stopped dog a but chicken the illustrate to wanted I
I wonder why the chicken loves to illustrate the dog,dog the illustrate to loves chicken the why wonder I
The chicken meets the cat,cat the meets chicken The
Please tell the chicken and the cat to meet me,me meet to cat the and chicken the tell Please
Do not meet the chicken or the cat,cat the or chicken the meet not Do
I wanted to meet the chicken but a cat stopped me,me stopped cat a but chicken the meet to wanted I
I wonder why the chicken loves to meet the cat,cat the meet to loves chicken the why wonder I
The chicken likes the cat,cat the likes chicken The
Please tell the chicken and the cat to like me,me like to cat the and chicken the tell Please
Do not like the chicken or the cat,cat the or chicken the like not Do
I wanted to like the chicken but a cat stopped me,me stopped cat a but chicken the like to wanted I
I wonder why the chicken loves to like the cat,cat the like to loves chicken the why wonder I
The chicken dislikes the cat,cat the dislikes chicken The
Please tell the chicken and the cat to dislike me,me dislike to cat the and chicken the tell Please
Do not dislike the chicken or the cat,cat the or chicken the dislike not Do
I wanted to dislike the chicken but a cat stopped me,me stopped cat a but chicken the dislike to wanted I
I wonder why the chicken loves to dislike the cat,cat the dislike to loves chicken the why wonder I
The chicken challenges the cat,cat the challenges chicken The
Please tell the chicken and the cat to challenge me,me challenge to cat the and chicken the tell Please
Do not challenge the chicken or the cat,cat the or chicken the challenge not Do
I wanted to challenge the chicken but a cat stopped me,me stopped cat a but chicken the challenge to wanted I
I wonder why the chicken loves to challenge the cat,cat the challenge to loves chicken the why wonder I
The chicken befriends the cat,cat the befriends chicken The
Please tell the chicken and the cat to befriend me,me befriend to cat the and chicken the tell Please
Do not befriend the chicken or the cat,cat the or chicken the befriend not Do
I wanted to befriend the chicken but a cat stopped me,me stopped cat a but chicken the befriend to wanted I
I wonder why the chicken loves to befriend the cat,cat the befriend to loves chicken the why wonder I
The chicken celebrates the cat,cat the celebrates chicken The
Please tell the chicken and the cat to celebrate me,me celebrate to cat the and chicken the tell Please
Do not celebrate the chicken or the cat,cat the or chicken the celebrate not Do
I wanted to celebrate the chicken but a cat stopped me,me stopped cat a but chicken the celebrate to wanted I
I wonder why the chicken loves to celebrate the cat,cat the celebrate to loves chicken the why wonder I
The chicken swordfights the cat,cat the swordfights chicken The
Please tell the chicken and the cat to swordfight me,me swordfight to cat the and chicken the tell Please
Do not swordfight the chicken or the cat,cat the or chicken the swordfight not Do
I wanted to swordfight the chicken but a cat stopped me,me stopped cat a but chicken the swordfight to wanted I
I wonder why the chicken loves to swordfight the cat,cat the swordfight to loves chicken the why wonder I
The chicken questions the cat,cat the questions chicken The
Please tell the chicken and the cat to question me,me question to cat the and chicken the tell Please
Do not question the chicken or the cat,cat the or chicken the question not Do
I wanted to question the chicken but a cat stopped me,me stopped cat a but chicken the question to wanted I
I wonder why the chicken loves to question the cat,cat the question to loves chicken the why wonder I
The chicken serenades the cat,cat the serenades chicken The
Please tell the chicken and the cat to serenade me,me serenade to cat the and chicken the tell Please
